District in Greater Cairo where you live,Which day of the week (phase I) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers"
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",14,235,45.4,0,4,0,3,4,0,0,5,0,0,2,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",17,75.68,34.05,15.14,22.68,0,1.8,7,0,11.35,3.78,0.6,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",7,255.42,56.75,0,49.14,0,3.16,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Az-Zamālik [Zamalek] , الزمالك","Sunday, October 22nd 2023",16,283.8,45.4,0,22.68,0,1.2,6,0,11.35,7.56,1.2,I didn’t go anywhere but university today ,0,0,0,0,0,30,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",14,283.8,56.75,60.56,4.09,0,1.8,1.5,0,0,0,0,no other places ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",5,56.76,22.7,0,1.89,0,1.8,9,18.92,34.05,3.78,1.5,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",16,0,34.05,2.523,5.67,0,0.3,8,0,11.35,3.78,0.3,car ,1,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",11,141.9,34.05,0,30.24,0,1.2,8,0,11.35,11.34,2.4,hanging around/ football,5,0,0,0,0.69,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,66.22,34.05,22.71,37.8,0,1.8,6,0,11.35,11.34,0,gym,2,0,7.56,11.35,0.6,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",10,132.44,68.1,113.55,18.9,40,4,7,0,22.7,7.56,2,Club,2,0,18.9,11.35,2,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",18,0,34.05,0,3.78,0,0.6,5,0,0,0,0.23,Car,1,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",8,94.6,34.05,0,11.781,0,1.45,4.33,0,0,0,0,Gym,1,0,1.071,0,0.75,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",17,56.75,22.7,0,2.52,0,2,7,0,0,1.26,0,none,0,0,0,0,0,15,0,0
AUC Dorm,"Sunday, October 22nd 2023",20,94.6,56.75,0,7.56,0,3,4,0,0,0,0,NA,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",17,0,22.7,7.57,11.34,0,0.4,6,0,22.7,3.78,0,car- in the street,1,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",24,0,45.4,0,15.12,0,800,0,0,0,0,0,No other place ,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",4,56.76,45.4,0,3.78,0,0.8,6,0,0,6.05,0.5,hanging around,6,0,0.8,0,0.46,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",4,189,45.4,0,11.34,0,0.69,10,0,0,3.78,1.2,nothing,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",4,0,22.7,0,3.621,0,0,3,0,11.35,1.207,0,club,2,0,0,0,0.575,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",16,113.52,56.67,5,6,0,1.5,24,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",6,141.9,22.7,75.7,11.34,0,0.6,10,0,0,7.56,0.23,No where ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",4,189.2,22.7,0,3.78,0,1.2,10,0,11.35,3.78,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",2,0,11.35,0,7.56,0,0.23,12,0,0,7.56,0.6,Cafe,4,0,0,0,0.23,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",15.5,132.44,22.7,0,8.505,0,0.46,3.5,0,11.35,4.725,0.6,"Restaurant, driving and walking ",5,0,0,0,0.3,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,66.22,11.35,0,9.45,0,1.15,10,0,11.35,7.56,0.69,none,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",14,94.6,79.45,15.14,18.9,0,3,6,0,0,0,0.6,car ,4,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",6,189.2,56.75,45.42,18.9,5,3.6,6,0,22.7,7.56,1.2,Mall,1,0,0,0,0.6,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",16,94.6,56.75,37.85,15.12,0,1,8,0,22.7,7.56,1,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",2,2,113.5,227.1,11.34,0,0.23,15,0,79.45,11.34,1.2,None (0),0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",4.5,94.6,68.1,0,15.12,0,2.4,5.5,0,22.7,3.78,0.9,Gym,1.25,0,0,0,0.6,0,0,0
"Al-'Ubūr [El Ubour] , العبور","Sunday, October 22nd 2023",3,189.2,22.7,0,7.56,0,1.15,0,0,0,3.78,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",16,0,22.7,45.4,19.21,0,0.83,6,0,11.35,1.89,0.3,mall,2,0,1.89,11.35,0.23,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",10,94.6,34.05,62.074,11.34,0,1.8,5,0,0,0,0.6,0.6 water bottle ,6,0,3.78,11.35,0.6,15,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",16.5,146.63,22.7,0,9.45,0,1.2,7.5,0,22.7,3.78,0.6,0,0,0,0,0,0,30,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",18,170.28,56.75,22.71,26.46,0,0.6,3,0,0,0,0.6,none,0,0,0,0,0,15,0,0
"Al-Muqaṭṭam , المقطم","Sunday, October 22nd 2023",19,104.06,22.7,45.42,18.9,0,0.92,5,0,11.35,0,0,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",2,189,22.7,0,7.56,0,0,12,0,56.75,37.8,2.4,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",2,141.9,22.7,0,11.34,0,1,8,0,68.1,18.9,3,restaurent,2,0,7.56,11.35,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",1,0,11.35,0,3.78,0,0.25,16,0,11.35,3.78,1.2,null,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",4,46.3,11.35,0,3.78,0,0.46,10,0,11.35,3.78,0.6,no other places ,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",15,165.55,34.05,3.785,7.938,0,0.4,7.4,0,11.35,1.89,0.6,no place I only went to university and home,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",9,122.98,34.05,0,45.36,-,1.3,4,0,0,0,0.65,-,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",15,106.898,45.4,22.71,7.56,0,2,2,0,0,0,0,hanging around / gym,5.5,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",8,0,22.7,0,7.56,0,0.9,8,0,34.05,3.78,0.6,0,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",8,141.9,68.1,0,142.884,0,1.5,3,0,11.35,3.78,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10,0,11.35,0,2.079,0,0.3,14,0,22.7,1.197,0.9,no other place,0,0,0,0,0,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12,116.831,90.85,0,9.828,0,0.46,9.33,0,0,1.26,0.23,Cousin's house 🏠 ,2.67,0,0.63,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,190.2,56.75,22.71,37.80,0,3,2,0,0,7.56,2,no where,0,0,0,0,0,15,0,0
