District in Greater Cairo where you live,Which day of the week (Step III) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing dishes in a Dish Washing Machine during the time you spent at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine during the time you spent at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers",
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, November 2nd 2023",9,95,0,0,0,15,0,0,0,0,0,0,0,outside,13,0,38,0,4,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, November 1st 2023",2,47.3,0,11.35,0,0,0,0.23,8,0,0,0,0.6,"Shopping,Restaurant , pilates class, training ",8,0,3.78,11.35,3,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, November 1st 2023",17,7.095,0,22.7,0,0,0,1.2,4,0,0,0,1.2,club,3,0,2.835,11.35,2,0,0,
AUC Dorm,"Tuesday, October 31st 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,"Alexandria (home), hairdresser, restaurant ",24,47.3,18.9,45.4,1.5,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 31st 2023",0,0,0,0,0,0,0,0,0,0,0,0,0,Travelled alex ,24,9.46,11.34,22.7,1.2,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, November 1st 2023",11,47.3,0,45.4,38,15,0,1.5,4,0,22.7,11.34,0.6,gym + coffeeshop,6,0,8,22.7,1.2,0,0,
"Al-Jīzah [Giza] , الجيزة","Monday, October 30th 2023",15,189.2,0,22.7,22.71,0,0,1.8,8,0,34.05,11.34,1.2,gym,1,94.6,3.78,11.35,1.2,0,0,
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 31st 2023",7,11.9196,0,11.35,0,0,0,0.3,0,0,0,0,0,club,2,0,2.0034,11.35,1.2,0,0,
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Monday, October 30th 2023",7,69.531,0,45.4,17.7,0,0,1.2,7,0,22.7,3.276,1.2,gym,2.5,0,1.26,11.35,1.2,0,0,
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 30th 2023",14,14.19,0,11.35,0,0,0,2,6,0,11.35,1.26,1.2,club,3,0,0,11.35,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",12,189.2,0,34.05,15.14,0,0,0.9,0,0,0,0,0,training,4,0,0,0,1.2,0,0,
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 31st 2023",6,94.6,0,11.35,0,0,0,2.4,5,0,0,3.78,1.8,Club,2,0,0,0,1.2,0,0,
